<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.04.04	1924.23	1936.67	1915.90	1932.40	82082	0	18
2022.04.05	1932.46	1944.48	1917.90	1923.41	80649	0	18
2022.04.06	1923.35	1933.41	1915.11	1924.98	96809	0	18
2022.04.07	1924.07	1937.62	1920.45	1931.50	81791	0	18
2022.04.08	1930.65	1948.06	1927.52	1945.45	80737	0	18
2022.04.11	1945.78	1969.13	1939.88	1953.40	105455	0	18
2022.04.12	1953.43	1978.49	1949.69	1966.50	95351	0	18
2022.04.13	1966.32	1981.42	1962.64	1977.48	87027	0	18
2022.04.14	1977.50	1980.24	1960.35	1973.20	89912	0	18
2022.04.18	1972.19	1998.25	1971.34	1978.64	99763	0	18
2022.04.19	1977.88	1981.86	1943.44	1949.76	106673	0	18
2022.04.20	1949.66	1958.17	1939.02	1957.42	105133	0	18
2022.04.21	1956.37	1957.24	1936.64	1951.22	102415	0	18
2022.04.22	1951.02	1955.53	1926.47	1931.69	112446	0	18
2022.04.25	1930.78	1934.20	1891.40	1897.46	151542	0	18
2022.04.26	1897.73	1911.11	1895.63	1905.36	139354	0	18
2022.04.27	1905.89	1906.95	1881.24	1885.73	119390	0	18
2022.04.28	1885.42	1896.63	1872.04	1894.56	104118	0	18
2022.04.29	1894.64	1919.80	1892.47	1896.99	98212	0	18
2022.05.02	1896.16	1899.81	1854.43	1862.82	93280	0	19
2022.05.03	1863.10	1877.98	1850.26	1867.86	86420	0	19
2022.05.04	1867.12	1889.48	1861.26	1881.17	79943	0	19
2022.05.05	1882.56	1909.68	1872.40	1876.85	119908	0	18
2022.05.06	1876.35	1892.42	1866.10	1882.38	106281	0	18
2022.05.09	1883.61	1885.58	1851.57	1853.85	115347	0	18
2022.05.10	1853.53	1865.36	1835.40	1837.97	111976	0	18
2022.05.11	1837.96	1858.02	1831.93	1852.22	107187	0	18
2022.05.12	1852.16	1858.70	1821.16	1821.54	117846	0	18
2022.05.13	1821.81	1828.69	1799.00	1811.09	95737	0	18
2022.05.16	1809.66	1826.81	1786.68	1823.77	83232	0	18
2022.05.17	1824.56	1836.01	1812.72	1814.92	84601	0	18
2022.05.18	1814.32	1824.59	1807.36	1816.25	82653	0	18
2022.05.19	1816.32	1849.03	1810.79	1841.61	97521	0	18
2022.05.20	1841.15	1849.29	1832.24	1845.35	81311	0	0
2022.05.23	1845.77	1865.26	1843.74	1853.26	79418	0	18
2022.05.24	1853.25	1869.58	1849.26	1866.35	62093	0	18
2022.05.25	1865.43	1867.96	1842.77	1853.15	66462	0	18
2022.05.26	1852.79	1854.23	1840.81	1850.55	74525	0	18
2022.05.27	1850.67	1861.86	1847.88	1853.53	70679	0	18
2022.05.30	1852.56	1863.91	1848.12	1855.38	46797	0	18
2022.05.31	1855.85	1857.04	1835.02	1837.05	105347	0	18
2022.06.01	1837.29	1849.93	1828.39	1846.18	103134	0	18
2022.06.02	1846.81	1870.45	1844.01	1868.36	83720	0	18
2022.06.03	1868.75	1873.99	1847.27	1851.16	84596	0	18
